1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
0,0,0,0,0,0,0,89.44076639,0,0,0,0,0,0,0,49.30275147,75.18577936,2.472752285,0,0,0,0,0,0,0,0,0,89.44076639,68.1378362,0,0,0,0,0,0,0,0,13.04705846,0,89.44076639,0,0,0,0,0,89.44076639,0,0,2.772640887,0,0,89.44076639,0,0,0,0,90.3275884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3275884,0,0,0,0,0,90.3275884,0,0,0,0,0,0,0,0,90.3275884,0,0,0,90.3275884,0,0,0,0,0,0,90.3275884,90.3275884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,110.387348,0,0,0,0,0,5.568872245,0,104.8184757,88.68333431,0,0,0,5.568872245,0,0,0,0,0,5.568872245,110.387348,68.4471296,0,0,0,0,0,0,0,0,5.568872245,0,110.387348,0,0,0,0,0,110.387348,0,0,20.8798465,0,0,110.387348,0,0,0,0,110.8819422,0,110.8819422,0,0,0,0,110.8819422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.8819422,0,0,0,0,0,110.8819422,0,0,0,0,0,0,0,0,110.8819422,0,0,0,110.8819422,0,0,0,0,110.8819422,0,110.8819422,110.8819422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.816157517,75.03031955,0,0,0,0,0,9.469224151,0,75.03031955,75.03031955,0,0,0,24.54205848,0,0,0,0,0,11.43822581,75.03031955,18.83761675,6.816157517,0,0,0,0,0,0,0,16.28538167,0,75.03031955,0,0,0,0,0,75.03031955,0,0,0,0,0,75.03031955,0,0,0,0,74.53707044,0,74.53707044,0,0,0,0,74.53707044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.53707044,0,0,0,0,0,74.53707044,0,0,0,0,0,0,0,0,74.53707044,0,0,0,74.53707044,0,0,0,0,74.53707044,0,74.53707044,74.53707044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,103.2985691,0,0,0,0,0,0,0,103.2985691,71.395764,0,0,0,0,0,0,0,0,0,0,103.2985691,50.27478636,0,0,0,0,0,0,0,0,0,0,103.2985691,0,0,0,0,0,103.2985691,0,0,3.497945893,0,0,103.2985691,0,0,0,0,105.1691711,0,105.1691711,0,0,0,0,105.1691711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.1691711,0,0,0,0,0,105.1691711,0,0,0,0,0,0,0,0,105.1691711,0,0,0,105.1691711,0,0,0,0,105.1691711,0,105.1691711,105.1691711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.1691711,0
0,0,0,0,0,0,0,37.0055292,0,0,0,0,0,0,0,37.0055292,37.0055292,0,0,0,0.677057681,0,0,0,0,0,0,37.0055292,0,0,0,0,0,0,0,0,0,0,0,37.0055292,0,0,0,0,0,37.0055292,0,0,0,0,0,37.0055292,0,0,0,0,37.81828927,0,37.81828927,0,0,0,0,37.81828927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.81828927,0,0,0,0,0,37.81828927,0,0,0,0,0,0,0,0,37.81828927,0,0,0,37.81828927,0,0,0,0,37.81828927,0,37.81828927,37.81828927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25.01196463,0,0,0,0,0,0,0,0,57.76833325,0,175.4139107,0,0,0,13.84628847,0,0,0,0,0,45.76549248,0,0,33.30173023,0,0,0,0,0,0,0,50.93284503,175.4139107,0,0,0,94.57442649,0,0,191.0242983,0,0,0,0,0,130.9820954,7.393121759,25.9359212,192.7414973,192.7414973,182.109286,170.3941986,192.7414973,124.0374381,14.95417693,7.393121759,192.7414973,14.95417693,7.393121759,95.68231464,0,7.393121759,7.393121759,0,14.95417693,14.95417693,14.95417693,14.95417693,80.72813771,131.4305599,22.34729869,0,192.7414973,131.4305599,130.9820954,7.393121759,161.6703457,7.393121759,45.93199205,14.95417693,0,130.9820954,0,109.0832612,131.4305599,131.4305599,0,0,131.4305599,105.2738509,170.3941986,14.95417693,14.95417693,0,177.7873204,192.7414973,14.95417693,192.7414973,14.95417693,177.7873204,131.4305599,7.393121759,116.4763829,192.7414973,7.393121759,192.7414973,192.7414973,110.044281,14.95417693,7.393121759,85.05010332,0,0,14.95417693,0,14.95417693,14.95417693,40.89009813,30.23978584,22.34729869,141.6143067,141.6143067,0,192.7414973,192.7414973,177.7873204,22.34729869,22.34729869,0,192.7414973,14.95417693
0,0,0,0,0,0,0,18.75833036,0,0,0,0,0,0,0,18.75833036,18.75833036,0,0,0,0,0,0,0,0,0,0,18.75833036,0,0,0,0,0,0,0,0,0,0,0,18.75833036,0,0,0,0,0,18.75833036,0,0,0,0,0,18.75833036,0,0,0,0,19.27855506,0,19.27855506,0,0,0,0,19.27855506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.27855506,0,0,0,0,0,19.27855506,0,0,0,0,0,0,0,0,19.27855506,0,0,0,19.27855506,0,0,0,0,19.27855506,0,19.27855506,19.27855506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,55.72303929,0,0,12.63425872,0,0,0,14.3790718,0,79.8299099,0,172.351419,0,0,0,121.3292294,0,0,12.3412451,0,0,130.6797769,0,0,60.12937101,0,0,0,0,0,0,0,26.14203035,172.351419,0,0,0,101.7171566,0,0,172.351419,0,0,0,0,0,176.7493233,176.7493233,176.7493233,176.7493233,176.7493233,176.7493233,176.7493233,176.7493233,176.7493233,0,0,176.7493233,176.7493233,0,0,0,0,176.7493233,0,0,0,0,0,0,176.7493233,0,0,176.7493233,176.7493233,176.7493233,176.7493233,176.7493233,0,176.7493233,0,176.7493233,176.7493233,0,176.7493233,176.7493233,176.7493233,0,0,176.7493233,176.7493233,0,0,0,0,176.7493233,176.7493233,0,176.7493233,0,176.7493233,176.7493233,0,176.7493233,176.7493233,0,176.7493233,176.7493233,176.7493233,0,0,0,0,0,0,0,0,176.7493233,0,0,0,176.7493233,176.7493233,0,176.7493233,176.7493233,176.7493233,0,0,0,176.7493233,0
0,0,0,0,0,0,0,23.36881871,0,0,0,0,0,0,0,23.36881871,23.36881871,0,0,0,0,0,0,0,0,0,0,23.36881871,0,0,0,0,0,0,0,0,0,0,0,23.36881871,0,0,0,0,0,23.36881871,0,0,0,0,0,23.36881871,0,0,0,0,24.08486164,0,24.08486164,0,0,0,0,24.08486164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08486164,0,0,0,0,0,24.08486164,0,0,0,0,0,0,0,0,24.08486164,0,0,0,24.08486164,0,0,0,0,24.08486164,0,24.08486164,24.08486164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08486164,0
0,0,0,0,0,0,0,58.29329186,0,0,0,0,0,0,0,58.29329186,58.29329186,0,0,0,0,0,0,0,0,0,0,58.29329186,0,0,0,0,0,0,0,0,0,0,0,58.29329186,0,0,0,0,0,58.29329186,0,0,0,0,0,58.29329186,0,0,0,0,58.73498617,0,58.73498617,0,0,0,0,58.73498617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.73498617,0,0,0,0,0,58.73498617,0,0,0,0,0,0,0,0,58.73498617,0,0,0,58.73498617,0,0,0,0,58.73498617,0,58.73498617,58.73498617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.73498617,0
